epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,369.473,1.66655,2.62966,1.34132,0.73124,0.25106,0.33262,0.19926,1.34729,2.30187,1.07721,0.000469982,0.000469982,0.000469982
2,699.578,1.38453,1.52711,1.11819,0.74326,0.41649,0.44463,0.25409,1.27921,1.71357,1.11606,0.000915087,0.000915087,0.000915087
3,1020.91,1.29575,1.30167,1.07995,0.4755,0.52992,0.49726,0.30949,1.17816,1.31924,1.06977,0.00132875,0.00132875,0.00132875
4,1369.91,1.27059,1.22701,1.08267,0.884,0.49182,0.57616,0.34427,1.2175,1.27907,1.07038,0.00128753,0.00128753,0.00128753
5,1745.6,1.25805,1.1325,1.06255,0.68169,0.55273,0.59655,0.37883,1.15355,1.10209,1.03375,0.00124037,0.00124037,0.00124037
6,2061.19,1.25078,1.05222,1.06212,0.89543,0.51618,0.63854,0.40064,1.13828,1.08708,1.03432,0.00119322,0.00119322,0.00119322
7,2374.39,1.20369,1.0029,1.04089,0.71431,0.59012,0.64988,0.39742,1.13813,1.06232,1.03748,0.00114606,0.00114606,0.00114606
8,2689.95,1.17841,0.92161,1.02487,0.7291,0.62082,0.67728,0.43697,1.10123,0.93768,1.01206,0.0010989,0.0010989,0.0010989
9,3008.45,1.17218,0.90542,1.0223,0.66931,0.66737,0.67402,0.42065,1.12006,0.95886,1.01289,0.00105174,0.00105174,0.00105174
10,3323.12,1.15105,0.8762,1.02783,0.74625,0.64134,0.71358,0.4595,1.12777,0.91435,1.03596,0.00100459,0.00100459,0.00100459
11,3641.56,1.12593,0.81622,1.00652,0.71383,0.65435,0.70678,0.46396,1.07748,0.90857,1.00503,0.00095743,0.00095743,0.00095743
12,3957.21,1.1413,0.80257,1.02389,0.78983,0.66562,0.74032,0.4773,1.10619,0.83003,1.00984,0.000910273,0.000910273,0.000910273
13,4272.03,1.12151,0.78163,1.00618,0.84567,0.63032,0.72803,0.46667,1.09306,0.82372,1.00208,0.000863116,0.000863116,0.000863116
14,4729.88,1.11698,0.75313,0.99068,0.80747,0.6784,0.75846,0.47888,1.07702,0.79904,0.9977,0.000815959,0.000815959,0.000815959
15,5087.15,1.11491,0.76075,1.00345,0.85311,0.67327,0.77743,0.489,1.0518,0.79466,1.00028,0.000768802,0.000768802,0.000768802
16,5400.92,1.08003,0.72523,0.98488,0.82401,0.64168,0.74687,0.47772,1.07501,0.78915,0.99114,0.000721645,0.000721645,0.000721645
17,5737.63,1.08377,0.7207,0.98923,0.87472,0.72783,0.80479,0.53342,1.08833,0.76322,1.01915,0.000674488,0.000674488,0.000674488
18,6076.26,1.07696,0.69087,0.98129,0.80826,0.73663,0.76343,0.49531,1.07692,0.73972,1.00066,0.000627331,0.000627331,0.000627331
19,6392.38,1.06458,0.67554,0.96907,0.82763,0.75255,0.79883,0.53127,1.03059,0.72426,0.98476,0.000580174,0.000580174,0.000580174
20,6706.47,1.05292,0.66405,0.96968,0.89066,0.66874,0.79763,0.51999,1.06961,0.71928,0.99205,0.000533017,0.000533017,0.000533017
21,7019.45,1.0223,0.66077,0.96296,0.85378,0.7075,0.77773,0.5124,1.05675,0.69323,0.99551,0.00048586,0.00048586,0.00048586
22,7331.66,0.99499,0.62929,0.95708,0.89143,0.68192,0.80851,0.53174,1.02753,0.71296,0.98224,0.000438703,0.000438703,0.000438703
23,7644.16,0.99946,0.62092,0.95999,0.82162,0.73533,0.80288,0.53124,1.05083,0.68016,0.99238,0.000391546,0.000391546,0.000391546
24,7985.54,0.98983,0.60178,0.9506,0.84628,0.75116,0.82255,0.53442,1.03215,0.66864,0.98107,0.000344389,0.000344389,0.000344389
25,8315.38,0.98086,0.59381,0.9517,0.85307,0.76467,0.82855,0.5483,1.03054,0.6653,0.98407,0.000297232,0.000297232,0.000297232
26,8627.15,0.95531,0.56751,0.945,0.87345,0.7572,0.82906,0.54793,1.04473,0.66777,0.99018,0.000250075,0.000250075,0.000250075
27,8948.17,0.96722,0.57258,0.93665,0.89729,0.75594,0.82356,0.55335,1.01228,0.65328,0.97084,0.000202918,0.000202918,0.000202918
28,9258.55,0.94446,0.54308,0.93381,0.89741,0.7342,0.82239,0.5464,1.02531,0.64242,0.98026,0.000155761,0.000155761,0.000155761
29,9569.14,0.93939,0.53999,0.92939,0.90384,0.74546,0.83057,0.54479,1.02989,0.65674,0.97632,0.000108604,0.000108604,0.000108604
30,9878.82,0.94504,0.53325,0.93447,0.90676,0.75793,0.83641,0.54939,1.02669,0.64044,0.97487,6.1447e-05,6.1447e-05,6.1447e-05
